"자치구","행정동","전체세대수","X1인세대","1인세대_2"
"송파구","가락1동",540.1666667,161.8333333,-3736.13384439458
"송파구","가락2동",12253.66667,2739.083333,-1158.88384469458
"송파구","가락본동",11645.66667,4165.083333,267.116155305424
"구로구","가리봉동",5918.75,3821.666667,-76.3005106945757
"금천구","가산동",12778.08333,8862.25,4964.28282230542
"강서구","가양1동",17989.25,10840.25,6942.28282230542
"강서구","가양2동",8109.666667,3748.666667,-149.300510694576
"강서구","가양3동",7796,2932.25,-965.717177694576
"종로구","가회동",2068.416667,921.25,-2976.71717769458
"은평구","갈현1동",11139.83333,4292.666667,394.699489305425
"은평구","갈현2동",12512.58333,4001.333333,103.366155305424
"강동구","강일동",11213.66667,2174,-1723.96717769458
"구로구","개봉1동",13978.08333,4659.166667,761.199489305425
"구로구","개봉2동",12711.33333,3142.916667,-755.050510694576
"구로구","개봉3동",8724.333333,2503.5,-1394.46717769458
"강남구","개포1동",5118,1587.583333,-2310.38384469458
"강남구","개포2동",4952.75,1151.166667,-2746.80051069458
"강남구","개포4동",7830.75,2963.25,-934.717177694576
"송파구","거여1동",5338.166667,1709.666667,-2188.30051069458
"송파구","거여2동",7238.166667,2400.75,-1497.21717769458
"강동구","고덕1동",9108.333333,1533.25,-2364.71717769458
"강동구","고덕2동",3530.583333,1495.916667,-2402.05051069458
"구로구","고척1동",9507.416667,2784.333333,-1113.63384469458
"구로구","고척2동",11686.16667,3623.5,-274.467177694576
"마포구","공덕동",18433.33333,7919.916667,4021.94948930542
"노원구","공릉1동",17951.5,7764.416667,3866.44948930542
"노원구","공릉2동",16106.75,5123.583333,1225.61615530542
"강서구","공항동",12550.75,5276.666667,1378.69948930542
"광진구","광장동",11972.16667,2126.916667,-1771.05051069458
"중구","광희동",2909.25,1823.5,-2074.46717769458
"종로구","교남동",4532.75,1593.833333,-2304.13384469458
"구로구","구로1동",7833.5,1698.5,-2199.46717769458
"구로구","구로2동",12913.66667,6062.083333,2164.11615530542
"구로구","구로3동",13533,7798.083333,3900.11615530542
"구로구","구로4동",10658.5,4831.583333,933.616155305424
"구로구","구로5동",14315,6568.166667,2670.19948930542
"은평구","구산동",12752.75,3639.25,-258.717177694576
"광진구","구의1동",11529.41667,5898.416667,2000.44948930542
"광진구","구의2동",10885.58333,3794,-103.967177694576
"광진구","구의3동",12136.66667,3932.583333,34.6161553054244
"광진구","군자동",10344.5,5483.833333,1585.86615530542
"성동구","금호1가동",6318.833333,1957.5,-1940.46717769458
"성동구","금호2.3가동",10307.66667,3498.25,-399.717177694576
"성동구","금호4가동",6416.333333,2148.75,-1749.21717769458
"강동구","길동",20777.16667,7799.583333,3901.61615530542
"성북구","길음1동",13001.75,2588,-1309.96717769458
"성북구","길음2동",4994.75,1913.666667,-1984.30051069458
"관악구","낙성대동",10539.58333,7155.916667,3257.94948930542
"관악구","난곡동",12803.91667,4814.333333,916.366155305424
"관악구","난향동",6451.083333,1821.083333,-2076.88384469458
"서대문구","남가좌1동",6090.5,1447.916667,-2450.05051069458
"서대문구","남가좌2동",10307,4254.166667,356.199489305425
"용산구","남영동",5448.333333,4174.583333,276.616155305424
"관악구","남현동",9127.25,4390.666667,492.699489305425
"서초구","내곡동",7203.333333,1976.833333,-1921.13384469458
"동작구","노량진1동",14663.33333,6212.916667,2314.94948930542
"동작구","노량진2동",7176.083333,3932.5,34.5328223054244
"은평구","녹번동",15015.83333,6058.916667,2160.94948930542
"강남구","논현1동",14125.75,9124.833333,5226.86615530542
"강남구","논현2동",11228.25,5860.25,1962.28282230542
"광진구","능동",6122.833333,3320.75,-577.217177694576
"중구","다산동",6893.416667,2986.833333,-911.133844694576
"동대문구","답십리1동",11503.91667,4375.25,477.282822305424
"동대문구","답십리2동",12014.91667,3987.666667,89.6994893054243
"영등포구","당산1동",9744.916667,4732.333333,834.366155305424
"영등포구","당산2동",16018.5,7748.833333,3850.86615530542
"영등포구","대림1동",6723.166667,3034.75,-863.217177694576
"영등포구","대림2동",6846.25,3361.166667,-536.800510694576
"영등포구","대림3동",10638.16667,3908.666667,10.6994893054243
"동작구","대방동",16807.66667,6436.416667,2538.44948930542
"은평구","대조동",15719.33333,7269.5,3371.53282230542
"강남구","대치1동",7433.416667,571.8333333,-3326.13384439458
"강남구","대치2동",13512.5,2465.416667,-1432.55051069458
"강남구","대치4동",10152.33333,5175.833333,1277.86615530542
"관악구","대학동",15538.66667,11341.16667,7443.19949230542
"마포구","대흥동",7190.166667,4692.416667,794.449489305425
"강남구","도곡1동",8523,2463.833333,-1434.13384469458
"강남구","도곡2동",11973.66667,2277.333333,-1620.63384469458
"영등포구","도림동",9877.25,4920.416667,1022.44948930542
"도봉구","도봉1동",10294,3954.75,56.7828223054244
