"","X","자치구","행정동","전체세대수","X1인세대"
"210",210,"강남구","소계",229718,88155
"211",211,"강동구","소계",177482,60836
"212",212,"강북구","소계",143208,56458
"213",213,"강서구","소계",257137,95198
"214",214,"관악구","소계",260360,139912
"215",215,"광진구","소계",161794,69677
"216",216,"구로구","소계",172027,62021
"217",217,"금천구","소계",106850,45741
"218",218,"노원구","소계",217735,66577
"219",219,"도봉구","소계",137754,42300
"220",220,"동대문구","소계",161333,71841
"221",221,"동작구","소계",175200,71522
"222",222,"마포구","소계",171175,74015
"223",223,"서대문구","소계",138008,56341
"224",224,"서초구","소계",173832,56913
"225",225,"성동구","소계",135972,53900
"226",226,"성북구","소계",186865,70412
"227",227,"송파구","소계",268813,88735
"228",228,"양천구","소계",176507,48049
"229",229,"영등포구","소계",169824,75054
"230",230,"용산구","소계",108695,50416
"231",231,"은평구","소계",204012,72299
"232",232,"종로구","소계",73723,35855
"233",233,"중구","소계",61146,29421
"234",234,"중랑구","소계",179972,71089
