"","자치구","행정동","전체세대수","1인세대"
"1","송파구","가락1동",540.166666666667,161.833333333333
"2","송파구","가락2동",12253.6666666667,2739.08333333333
"3","송파구","가락본동",11645.6666666667,4165.08333333333
"4","구로구","가리봉동",5918.75,3821.66666666667
"5","금천구","가산동",12778.0833333333,8862.25
"6","강서구","가양1동",17989.25,10840.25
"7","강서구","가양2동",8109.66666666667,3748.66666666667
"8","강서구","가양3동",7796,2932.25
"9","종로구","가회동",2068.41666666667,921.25
"10","은평구","갈현1동",11139.8333333333,4292.66666666667
"11","은평구","갈현2동",12512.5833333333,4001.33333333333
"12","강동구","강일동",11213.6666666667,2174
"13","구로구","개봉1동",13978.0833333333,4659.16666666667
"14","구로구","개봉2동",12711.3333333333,3142.91666666667
"15","구로구","개봉3동",8724.33333333333,2503.5
"16","강남구","개포1동",5118,1587.58333333333
"17","강남구","개포2동",4952.75,1151.16666666667
"18","강남구","개포4동",7830.75,2963.25
"19","송파구","거여1동",5338.16666666667,1709.66666666667
"20","송파구","거여2동",7238.16666666667,2400.75
"21","강동구","고덕1동",9108.33333333333,1533.25
"22","강동구","고덕2동",3530.58333333333,1495.91666666667
"23","구로구","고척1동",9507.41666666667,2784.33333333333
"24","구로구","고척2동",11686.1666666667,3623.5
"25","마포구","공덕동",18433.3333333333,7919.91666666667
"26","노원구","공릉1동",17951.5,7764.41666666667
"27","노원구","공릉2동",16106.75,5123.58333333333
"28","강서구","공항동",12550.75,5276.66666666667
"29","광진구","광장동",11972.1666666667,2126.91666666667
"30","중구","광희동",2909.25,1823.5
"31","종로구","교남동",4532.75,1593.83333333333
"32","구로구","구로1동",7833.5,1698.5
"33","구로구","구로2동",12913.6666666667,6062.08333333333
"34","구로구","구로3동",13533,7798.08333333333
"35","구로구","구로4동",10658.5,4831.58333333333
"36","구로구","구로5동",14315,6568.16666666667
"37","은평구","구산동",12752.75,3639.25
"38","광진구","구의1동",11529.4166666667,5898.41666666667
"39","광진구","구의2동",10885.5833333333,3794
"40","광진구","구의3동",12136.6666666667,3932.58333333333
"41","광진구","군자동",10344.5,5483.83333333333
"42","성동구","금호1가동",6318.83333333333,1957.5
"43","성동구","금호2.3가동",10307.6666666667,3498.25
"44","성동구","금호4가동",6416.33333333333,2148.75
"45","강동구","길동",20777.1666666667,7799.58333333333
"46","성북구","길음1동",13001.75,2588
"47","성북구","길음2동",4994.75,1913.66666666667
"48","관악구","낙성대동",10539.5833333333,7155.91666666667
"49","관악구","난곡동",12803.9166666667,4814.33333333333
"50","관악구","난향동",6451.08333333333,1821.08333333333
"51","서대문구","남가좌1동",6090.5,1447.91666666667
"52","서대문구","남가좌2동",10307,4254.16666666667
"53","용산구","남영동",5448.33333333333,4174.58333333333
"54","관악구","남현동",9127.25,4390.66666666667
"55","서초구","내곡동",7203.33333333333,1976.83333333333
"56","동작구","노량진1동",14663.3333333333,6212.91666666667
"57","동작구","노량진2동",7176.08333333333,3932.5
"58","은평구","녹번동",15015.8333333333,6058.91666666667
"59","강남구","논현1동",14125.75,9124.83333333333
"60","강남구","논현2동",11228.25,5860.25
"61","광진구","능동",6122.83333333333,3320.75
"62","중구","다산동",6893.41666666667,2986.83333333333
"63","동대문구","답십리1동",11503.9166666667,4375.25
"64","동대문구","답십리2동",12014.9166666667,3987.66666666667
"65","영등포구","당산1동",9744.91666666667,4732.33333333333
"66","영등포구","당산2동",16018.5,7748.83333333333
"67","영등포구","대림1동",6723.16666666667,3034.75
"68","영등포구","대림2동",6846.25,3361.16666666667
"69","영등포구","대림3동",10638.1666666667,3908.66666666667
"70","동작구","대방동",16807.6666666667,6436.41666666667
"71","은평구","대조동",15719.3333333333,7269.5
"72","강남구","대치1동",7433.41666666667,571.833333333333
"73","강남구","대치2동",13512.5,2465.41666666667
"74","강남구","대치4동",10152.3333333333,5175.83333333333
"75","관악구","대학동",15538.6666666667,11341.1666666667
"76","마포구","대흥동",7190.16666666667,4692.41666666667
"77","강남구","도곡1동",8523,2463.83333333333
"78","강남구","도곡2동",11973.6666666667,2277.33333333333
"79","영등포구","도림동",9877.25,4920.41666666667
"80","도봉구","도봉1동",10294,3954.75
"81","도봉구","도봉2동",12074.75,3849.16666666667
"82","마포구","도화동",9629.33333333333,3558.91666666667
"83","금천구","독산1동",17628.5833333333,8184.83333333333
"84","금천구","독산2동",9389.75,3896.58333333333
"85","금천구","독산3동",12214.8333333333,5437.5
"86","금천구","독산4동",7649.66666666667,3197.16666666667
"87","성북구","돈암1동",6391.41666666667,1763.83333333333
"88","성북구","돈암2동",8526.5,1510.66666666667
"89","성북구","동선동",8863.83333333333,5435.58333333333
"90","중구","동화동",4209,1189.58333333333
"91","강동구","둔촌1동",205.166666666667,142.583333333333
"92","강동구","둔촌2동",11160.4166666667,3354.25
"93","강서구","등촌1동",11662.25,5971.83333333333
"94","강서구","등촌2동",8537.25,2363.33333333333
"95","강서구","등촌3동",14734.8333333333,5230.16666666667
"96","성동구","마장동",10555.1666666667,4407.91666666667
"97","송파구","마천1동",9261.83333333333,3540.66666666667
"98","송파구","마천2동",8598.66666666667,2980.5
"99","중랑구","망우3동",8472.91666666667,3547.83333333333
"100","중랑구","망우본동",14682.1666666667,6369.83333333333
"101","마포구","망원1동",10355.1666666667,4818.66666666667
"102","마포구","망원2동",8223,2847.41666666667
"103","중랑구","면목2동",12195.3333333333,5237.75
"104","중랑구","면목3.8동",12574.1666666667,5414.41666666667
"105","중랑구","면목4동",9471.91666666667,3949.16666666667
"106","중랑구","면목5동",4636.66666666667,1886
"107","중랑구","면목7동",10104.6666666667,4164.16666666667
"108","중랑구","면목본동",17456.1666666667,8036.16666666667
"109","중구","명동",1412.75,927
"110","강동구","명일1동",8179.41666666667,1983.08333333333
"111","강동구","명일2동",5893.16666666667,978.583333333333
"112","양천구","목1동",10519.4166666667,1579.66666666667
"113","양천구","목2동",12861,4214.91666666667
"114","양천구","목3동",9537.41666666667,3325.33333333333
"115","양천구","목4동",10072.75,2736.58333333333
"116","양천구","목5동",13571.6666666667,1620.16666666667
"117","종로구","무악동",3010.16666666667,709.166666666667
"118","중랑구","묵1동",14425.1666666667,4467.16666666667
"119","중랑구","묵2동",9147.83333333333,3696
"120","영등포구","문래동",12725.75,3885.91666666667
"121","송파구","문정1동",8490,2620.75
"122","송파구","문정2동",14825.25,7721.66666666667
"123","관악구","미성동",14066.8333333333,5233
"124","강북구","미아동",11169.1666666667,5309.58333333333
"125","서초구","반포1동",13258.0833333333,6161.33333333333
"126","서초구","반포2동",6911.41666666667,1038.91666666667
"127","서초구","반포3동",6780.16666666667,1295
"128","서초구","반포4동",7368.25,1865.16666666667
"129","서초구","반포본동",4232.83333333333,730.333333333333
"130","강서구","발산1동",13402.8333333333,2470.33333333333
"131","서초구","방배1동",7499,2802.58333333333
"132","서초구","방배2동",10368.1666666667,3586.66666666667
"133","서초구","방배3동",8415.08333333333,2297.41666666667
"134","서초구","방배4동",10075.6666666667,3386.08333333333
"135","서초구","방배본동",7860.91666666667,2089
"136","송파구","방이1동",6171.08333333333,1696.66666666667
"137","송파구","방이2동",12623.0833333333,6360.58333333333
"138","도봉구","방학1동",12685.1666666667,4400.91666666667
"139","도봉구","방학2동",9575.41666666667,3581
"140","도봉구","방학3동",10142.6666666667,1733.66666666667
"141","강서구","방화1동",17330.0833333333,4659.91666666667
"142","강서구","방화2동",11475.25,5190.25
"143","강서구","방화3동",11247.4166666667,4346.83333333333
"144","강북구","번1동",10100.9166666667,5171
"145","강북구","번2동",7543.25,2501.58333333333
"146","강북구","번3동",7619.58333333333,2088.33333333333
"147","용산구","보광동",7784.83333333333,3981
"148","관악구","보라매동",11895.5833333333,5272.91666666667
"149","성북구","보문동",7985.25,3650.5
"150","종로구","부암동",4307.58333333333,1617.83333333333
"151","서대문구","북가좌1동",7018.83333333333,1508.75
"152","서대문구","북가좌2동",14734,5321.25
"153","서대문구","북아현동",7561.08333333333,2804.75
"154","은평구","불광1동",17719.1666666667,6165.08333333333
"155","은평구","불광2동",13651,5569.08333333333
